"Broad_Category","Sum","District"
"Art",1,"Total"
"CTE - Trades, Ag & Technical",1,"Total"
"Early Childhood",1,"Total"
"Elementary",3,"Total"
"English Language Arts Secondary",1,"Total"
"Language",1,"Total"
"Library Media",1,"Total"
"Math",4,"Total"
"Music",8,"Total"
"Other",10,"Total"
"Physical Education",5,"Total"
"Secondary Social Studies",1,"Total"
"Special Education - General",18,"Total"
"Special Education - Resource/Life Skills",6,"Total"
"Art",1,"Wyoming Classical Academy"
"CTE - Trades, Ag & Technical",1,"Natrona School District 1"
"Early Childhood",1,"Sweetwater County Child Developmental Center"
"Elementary",1,"Carbon County School District 1"
"Elementary",1,"Laramie County School District 1"
"Elementary",1,"Park County School District 6"
"English Language Arts Secondary",1,"Sweetwater County School District 1"
"Language",1,"Fremont County School District 21"
"Library Media",1,"Sweetwater County School District 1"
"Math",2,"Big Horn School District 2"
"Math",1,"Uinta County School District 4"
"Math",1,"Wyoming Classical Academy"
"Music",1,"Carbon County School District 1"
"Music",2,"Niobrara County School District 1"
"Music",2,"Sweetwater County School District 1"
"Music",2,"Washakie County School District 2"
"Music",1,"Wyoming Classical Academy"
"Other",2,"Laramie County School District 1"
"Other",1,"Natrona School District 1"
"Other",1,"Platte County School District 1"
"Other",1,"Sweetwater County School District 1"
"Other",2,"Weston County School District 1"
"Other",3,"Wyoming Classical Academy"
"Physical Education",1,"Fremont County School District #21"
"Physical Education",3,"Fremont County School District 21"
"Physical Education",1,"Wyoming Classical Academy"
"Secondary Social Studies",1,"Wyoming Classical Academy"
"Special Education - General",2,"Campbell County School District 1"
"Special Education - General",2,"Fremont County School District 1"
"Special Education - General",1,"Fremont County School District 21"
"Special Education - General",1,"Fremont County School District 38"
"Special Education - General",2,"Lincoln County School District 1"
"Special Education - General",1,"Natrona School District 1"
"Special Education - General",1,"Northeast Wyoming BOCES"
"Special Education - General",4,"Park County School District 6"
"Special Education - General",1,"Sheridan County School District 3"
"Special Education - General",1,"Sweetwater County School District 1"
"Special Education - General",1,"Uinta County School District 4"
"Special Education - General",1,"Wyoming Classical Academy"
"Special Education - Resource/Life Skills",2,"Park County School District 6"
"Special Education - Resource/Life Skills",3,"Sweetwater County School District 1"
"Special Education - Resource/Life Skills",1,"Uinta County School District 1"
