"Category","Job_Type","Sum","Institution"
"CTE - Business & Computing","Adjunct/Part-Time Faculty",10,"Total"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",11,"Total"
"CTE - Health Sciences","Instructor/Teacher/Faculty",4,"Total"
"CTE - Trades & Engineering","Adjunct/Part-Time Faculty",17,"Total"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",6,"Total"
"Criminal Justice","Adjunct/Part-Time Faculty",2,"Total"
"Culinary/Hospitality","Adjunct/Part-Time Faculty",2,"Total"
"Culinary/Hospitality","Instructor/Teacher/Faculty",1,"Total"
"Education","Adjunct/Part-Time Faculty",3,"Total"
"Education","Instructor/Teacher/Faculty",1,"Total"
"History","Adjunct/Part-Time Faculty",5,"Total"
"Human Services","Adjunct/Part-Time Faculty",1,"Total"
"Humanities","Adjunct/Part-Time Faculty",6,"Total"
"Humanities","Instructor/Teacher/Faculty",1,"Total"
"Language","Adjunct/Part-Time Faculty",2,"Total"
"Library","Instructor/Teacher/Faculty",1,"Total"
"Math","Adjunct/Part-Time Faculty",5,"Total"
"Math","Instructor/Teacher/Faculty",1,"Total"
"Physical Education","Adjunct/Part-Time Faculty",2,"Total"
"Science","Adjunct/Part-Time Faculty",17,"Total"
"Science","Instructor/Teacher/Faculty",2,"Total"
"Social Science","Adjunct/Part-Time Faculty",6,"Total"
"Social Science","Instructor/Teacher/Faculty",2,"Total"
"The Arts","Adjunct/Part-Time Faculty",5,"Total"
"Uncategorized","Adjunct/Part-Time Faculty",28,"Total"
"Uncategorized","Instructor/Teacher/Faculty",4,"Total"
"CTE - Business & Computing","Adjunct/Part-Time Faculty",1,"Eastern Wyoming Community College"
"CTE - Business & Computing","Adjunct/Part-Time Faculty",1,"Gillette College"
"CTE - Business & Computing","Adjunct/Part-Time Faculty",4,"Laramie County Community College"
"CTE - Business & Computing","Adjunct/Part-Time Faculty",3,"Sheridan College"
"CTE - Business & Computing","Adjunct/Part-Time Faculty",1,"Western Wyoming Community College"
"CTE - Health Sciences","Instructor/Teacher/Faculty",1,"Central Wyoming College"
"CTE - Health Sciences","Instructor/Teacher/Faculty",1,"Eastern Wyoming Community College"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",1,"Gillette College"
"CTE - Health Sciences","Instructor/Teacher/Faculty",1,"Gillette College"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",4,"Laramie County Community College"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",2,"Sheridan College"
"CTE - Health Sciences","Adjunct/Part-Time Faculty",4,"Western Wyoming Community College"
"CTE - Health Sciences","Instructor/Teacher/Faculty",1,"Western Wyoming Community College"
"CTE - Trades & Engineering","Adjunct/Part-Time Faculty",1,"Eastern Wyoming Community College"
"CTE - Trades & Engineering","Adjunct/Part-Time Faculty",1,"Gillette College"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",1,"Gillette College"
"CTE - Trades & Engineering","Adjunct/Part-Time Faculty",3,"Laramie County Community College"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",1,"Laramie County Community College"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",1,"Northwest College"
"CTE - Trades & Engineering","Adjunct/Part-Time Faculty",8,"Sheridan College"
"CTE - Trades & Engineering","Adjunct/Part-Time Faculty",4,"Western Wyoming Community College"
"CTE - Trades & Engineering","Instructor/Teacher/Faculty",3,"Western Wyoming Community College"
"Criminal Justice","Adjunct/Part-Time Faculty",1,"Gillette College"
"Criminal Justice","Adjunct/Part-Time Faculty",1,"Sheridan College"
"Culinary/Hospitality","Adjunct/Part-Time Faculty",2,"Sheridan College"
"Culinary/Hospitality","Instructor/Teacher/Faculty",1,"Sheridan College"
"Education","Adjunct/Part-Time Faculty",2,"Laramie County Community College"
"Education","Adjunct/Part-Time Faculty",1,"Sheridan College"
"Education","Instructor/Teacher/Faculty",1,"Western Wyoming Community College"
"History","Adjunct/Part-Time Faculty",1,"Gillette College"
"History","Adjunct/Part-Time Faculty",1,"Laramie County Community College"
"History","Adjunct/Part-Time Faculty",2,"Sheridan College"
"History","Adjunct/Part-Time Faculty",1,"Western Wyoming Community College"
"Human Services","Adjunct/Part-Time Faculty",1,"Sheridan College"
"Humanities","Adjunct/Part-Time Faculty",4,"Laramie County Community College"
"Humanities","Adjunct/Part-Time Faculty",2,"Sheridan College"
"Humanities","Instructor/Teacher/Faculty",1,"University of Wyoming"
"Language","Adjunct/Part-Time Faculty",1,"Sheridan College"
"Language","Adjunct/Part-Time Faculty",1,"Western Wyoming Community College"
"Library","Instructor/Teacher/Faculty",1,"Laramie County Community College"
"Math","Adjunct/Part-Time Faculty",1,"Eastern Wyoming Community College"
"Math","Instructor/Teacher/Faculty",1,"Eastern Wyoming Community College"
"Math","Adjunct/Part-Time Faculty",3,"Laramie County Community College"
"Math","Adjunct/Part-Time Faculty",1,"Sheridan College"
"Physical Education","Adjunct/Part-Time Faculty",1,"Laramie County Community College"
"Physical Education","Adjunct/Part-Time Faculty",1,"Western Wyoming Community College"
"Science","Instructor/Teacher/Faculty",1,"Casper College"
"Science","Adjunct/Part-Time Faculty",3,"Eastern Wyoming Community College"
"Science","Adjunct/Part-Time Faculty",7,"Laramie County Community College"
"Science","Adjunct/Part-Time Faculty",4,"Sheridan College"
"Science","Instructor/Teacher/Faculty",1,"University of Wyoming"
"Science","Adjunct/Part-Time Faculty",3,"Western Wyoming Community College"
"Social Science","Instructor/Teacher/Faculty",1,"Central Wyoming College"
