"","Title","Location","Posted_Date","Institution","Link","Archive_Date","Job_Type","Category"
"1","Lead Teacher, Children’s Discovery Center","US-WY-Cheyenne","1 month ago(7/11/2024 2:24 PM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Instructor/Teacher/Faculty","Uncategorized"
"2","Instructor, Information Technology Pathway","US-WY-Cheyenne","1 month ago(6/27/2024 11:10 AM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Business & Computing"
"3","Instructor, Dental Hygiene","US-WY-Cheyenne","1 month ago(6/26/2024 9:03 AM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Health Sciences"
"4","Adjunct Instructor, WHP","US-WY-Cheyenne","2 years ago(8/18/2022 1:38 PM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Adjunct/Part-Time Faculty","Uncategorized"
"5","Adjunct Instructor, Communication","US-WY-Cheyenne","2 years ago(7/21/2022 3:41 PM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Adjunct/Part-Time Faculty","Humanities"
"6","Adjunct Instructor, Industrial Systems","US-WY-Cheyenne","3 years ago(11/4/2021 1:57 PM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Health Sciences"
"7","Adjunct Instructor, Diesel Technology","US-WY-Cheyenne","3 years ago(10/25/2021 9:47 AM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"8","Adjunct Instructor, Electrical Technology","US-WY-Cheyenne","3 years ago(10/14/2021 9:49 AM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"9","Subject Matter Expert, Life Enrichment Class","US-WY-Cheyenne","3 years ago(7/20/2021 12:35 PM)","Laramie County Community College","https://careers-lccc.icims.com/jobs/search?pr=",2024-08-09,"Instructor/Teacher/Faculty","Uncategorized"
"10","Part-time Instructor of Adult Basic Education (ABE), English as a Second Language (ESL), and Option III High School Credit Recovery","
                Learning Center
","
                08/01/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Humanities"
"11","Instructor/Assistant Professor of Industrial Maintenance","
                Technology & Industry
","
                02/19/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"12","Adjunct Faculty - Welding (Star Valley High School)","
                Technology & Industry
","
                07/30/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"13","Adjunct Faculty - Substation Technologies","
                Technology & Industry
","
                07/30/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"14","Adjunct Faculty-Commerical Driver's License (CDL)","
                Workforce Training
","
                05/30/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"15","Adjunct Faculty - EMS (Workforce)","
                Workforce Training
","
                05/30/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Health Sciences"
"16","Adjunct Faculty - Industrial Safety","
                Workforce Training
","
                05/30/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"17","Instructor/Assistant Professor of Substation Technology","
                Technology & Industry
","
                05/22/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"18","Instructor/Assistant Professor of Electrical & Instrumentation (Evanston Campus)","
                Technology & Industry
","
                05/20/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"19","Instructor for Commercial Driver's License (CDL) Training (12 Month)","
                Workforce Training
","
                05/21/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"20","Non-Credit Instructor (Star Valley, Wyoming)","
                Afton Outreach
","
                05/20/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","Uncategorized"
"21","Instructor / Assistant Professor of Powerline Technology","
                Technology & Industry
","
                05/02/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Trades & Engineering"
"22","Instructor/Assistant Professor of Business","
                Business Div
","
                03/08/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Instructor/Teacher/Faculty","CTE - Business & Computing"
"23","Adjunct Faculty - Business","
                Business Div
","
                04/01/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Business & Computing"
"24","Adjunct Faculty - Certified Nursing Assistant (CNA)","
                Health & Public Services
","
                03/14/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Health Sciences"
"25","Adjunct Faculty - Electrical & Instrumentation Technology","
                Technology & Industry
","
                02/20/2024
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Trades & Engineering"
"26","Adjunct Faculty- Physical or Outdoor Activity","
                Health & Public Services
","
                10/09/2018
","Western Wyoming Community College","https://wwccwy.peopleadmin.com/postings/search?page=",2024-08-09,"Adjunct/Part-Time Faculty","Physical Education"
"27","Adjunct","Riverton","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Adjunct/Part-Time Faculty","Uncategorized"
"28","Adjunct - Chemistry - Jackson","Jackson","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Adjunct/Part-Time Faculty","Science"
"29","Adjunct Instructor- Computer Science- Riverton","Riverton","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Adjunct/Part-Time Faculty","CTE - Business & Computing"
"30","Adjunct- Art- Jackson","Jackson","Posted more than 30 days ago","Central Wyoming College","https://www.schooljobs.com/careers/cwc",2024-08-09,"Adjunct/Part-Time Faculty","The Arts"
