"District","Salary_Year","Teacher_Base_Salary","Superintendent_Salary"
"Albany County School District 1","2025-2026",51500,174000
"Big Horn School District 1","2025-2026",56750,152140
"Big Horn School District 2","2025-2026",55157,140000
"Big Horn School District 3","2025-2026",52000,138600
"Big Horn School District 4","2025-2026",NA,135000
"Campbell County School District 1","2025-2026",56000,NA
"Carbon County School District 1","2025-2026",52750,174700
"Carbon County School District 2","2025-2026",45000,127800
"Converse County School District 2","2025-2026",51000,175227
"Converse County School District 1","2025-2026",52000,160000
"Crook County School District 1","2025-2026",51500,153332
"Fremont County School District 1","2025-2026",52200,146600
"Fremont County School District 14","2025-2026",57743,NA
"Fremont County School District 2","2025-2026",51750,110000
"Fremont County School District 21","2025-2026",60000,140000
"Fremont County School District 24","2025-2026",52000,140800
"Fremont County School District 25","2025-2026",51000,150000
"Fremont County School District 38","2025-2026",54633,NA
"Fremont County School District 6","2025-2026",54136,134300
"Goshen County School District 1","2025-2026",56856,170275
"Hot Springs County School District 1","2025-2026",50000,158000
"Johnson County School District 1","2025-2026",49000,144200
"Laramie County School District 1","2025-2026",53250,217360
"Laramie County School District 2","2025-2026",51750,145500
"Lincoln County School District 1","2025-2026",55500,81320
"Lincoln County School District 2","2025-2026",63070,220340
"Natrona School District 1","2025-2026",54100,218557
"Niobrara County School District 1","2025-2026",50000,134000
"Park County School District 1","2025-2026",54000,185500
"Park County School District 16","2025-2026",49000,133475
"Park County School District 6","2025-2026",50610,175134
"Platte County School District 1","2025-2026",50643,152642
"Platte County School District 2","2025-2026",50000,112000
"Sheridan County School District 1","2025-2026",52273,164000
"Sheridan County School District 2","2025-2026",54000,NA
"Sheridan County School District 3","2025-2026",48000,128060
"Sublette County School District 1","2025-2026",60500,190300
"Sublette County School District 9","2025-2026",51250,NA
"Sweetwater County School District 1","2025-2026",56250,212000
"Sweetwater County School District 2","2025-2026",55000,NA
"Teton County School District 1","2025-2026",68369,225000
"Uinta County School District 1","2025-2026",53400,178750
"Uinta County School District 4","2025-2026",57000,140000
"Uinta County School District 6","2025-2026",55000,160000
"Washakie County School District 1","2025-2026",53500,162000
"Washakie County School District 2","2025-2026",44000,84000
"Weston County School District 1","2025-2026",51750,148250
"Weston County School District 7","2025-2026",50000,NA
