"District","County","Latitude","Longitude","Link","Job_Link","Teacher_Base_Salary","Teacher_Base_Salary_Prior_Year","Salary_Year","Superintendent_Salary","Superintendent_Contract_Days","Salary_Source","Teachers_Total_FTE","Enrollment","CCD_Year","CCD_Source","Data_Coverage","Median_Household_Income","Median_Gross_Rent","Population","ACS_Year","Mining_Employment_Share","Population_Change_Pct"
"Albany County School District 1","Albany County, Wyoming",41.309365,-105.569114,"https://www.acsd1.org/page/careers","https://acsd1.schoolspring.com/",51500,47500,"2025-2026",174000,260,"WSBA (wsba-wy.org)",316,3752,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",61917,931,38249,2024,0.0102758494702229,-0.00367283146652774
"Big Horn School District 1","Big Horn County, Wyoming",44.882486,-108.468642,"https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1",56750,53550,"2025-2026",152140,255,"WSBA (wsba-wy.org)",88,1251,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",62101,823,11828,2024,0.0544620676476209,-0.00454468944622117
"Big Horn School District 2","Big Horn County, Wyoming",44.836192,-108.40267,"https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1","https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1",55157,53550,"2025-2026",140000,260,"WSBA (wsba-wy.org)",58,708,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",62101,823,11828,2024,0.0544620676476209,-0.00454468944622117
"Big Horn School District 3","Big Horn County, Wyoming",44.497407,-108.05642,"https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1",52000,50150,"2025-2026",138600,260,"WSBA (wsba-wy.org)",42,447,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",62101,823,11828,2024,0.0544620676476209,-0.00454468944622117
"Big Horn School District 4","Big Horn County, Wyoming",44.377987,-108.037905,"https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1","https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1",NA,50400,"2025-2026",135000,240,"WSBA (wsba-wy.org)",29,251,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",62101,823,11828,2024,0.0544620676476209,-0.00454468944622117
"Campbell County School District 1","Campbell County, Wyoming",44.28775,-105.517931,"https://campbell.tedk12.com/hire/index.aspx","https://campbell.schoolspring.com/",56000,52500,"2025-2026",NA,NA,"WSBA (wsba-wy.org)",670,8459,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",89869,1009,47240,2024,0.152167526962944,-0.00356472399755321
"Carbon County School District 1","Carbon County, Wyoming",41.795248,-107.230714,"https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1",52750,52000,"2025-2026",174700,260,"WSBA (wsba-wy.org)",136,1633,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",70511,842,14463,2024,0.0389570076051529,-0.0514199514658621
"Carbon County School District 2","Carbon County, Wyoming",41.457343,-106.807291,"https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1",45000,44500,"2025-2026",127800,260,"WSBA (wsba-wy.org)",81,573,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",70511,842,14463,2024,0.0389570076051529,-0.0514199514658621
"Converse County School District 2","Converse County, Wyoming",42.75092,-105.379164,"https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1","https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1",51000,50000,"2025-2026",175227,243,"WSBA (wsba-wy.org)",61,634,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",81558,866,13762,2024,0.126485693323551,-0.0114215932763451
"Converse County School District 1","Converse County, Wyoming",42.858918,-105.847279,"https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1","https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1",52000,51000,"2025-2026",160000,225,"WSBA (wsba-wy.org)",155,1639,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",81558,866,13762,2024,0.126485693323551,-0.0114215932763451
"Crook County School District 1","Crook County, Wyoming",44.404144,-104.371531,"https://www.applitrack.com/crook/onlineapp/default.aspx?all=1","https://crook1.schoolspring.com/",51500,47750,"2025-2026",153332,260,"WSBA (wsba-wy.org)",110,1203,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",79637,852,7455,2024,0.0680457267283615,-0.00227516059957173
"Fremont County School District 1","Fremont County, Wyoming",42.832871,-108.742799,"https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1","https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1",52200,49875,"2025-2026",146600,260,"WSBA (wsba-wy.org)",131,1566,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",64904,898,39533,2024,0.0261285364604087,-0.00700793730533507
"Fremont County School District 14","Fremont County, Wyoming",43.01327,-108.772029,"https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1",57743,57743,"2025-2026",NA,NA,"WSBA (wsba-wy.org)",64,573,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",64904,898,39533,2024,0.0261285364604087,-0.00700793730533507
"Fremont County School District 2","Fremont County, Wyoming",43.542002,-109.63039,"https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","https://fremont2.tedk12.com/hire/index.aspx",51750,51000,"2025-2026",110000,260,"WSBA (wsba-wy.org)",18,182,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",64904,898,39533,2024,0.0261285364604087,-0.00700793730533507
"Fremont County School District 21","Fremont County, Wyoming",42.999067,-108.854857,"https://www.applitrack.com/fremont24/onlineapp/default.aspx?all=1","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1",60000,NA,"2025-2026",140000,260,"WSBA (wsba-wy.org)",59,413,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",64904,898,39533,2024,0.0261285364604087,-0.00700793730533507
"Fremont County School District 24","Fremont County, Wyoming",43.245414,-108.116231,"https://fremont25.tedk12.com/hire/index.aspx","https://www.applitrack.com/fremont24/onlineapp/default.aspx?all=1",52000,47750,"2025-2026",140800,240,"WSBA (wsba-wy.org)",40,387,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",64904,898,39533,2024,0.0261285364604087,-0.00700793730533507
"Fremont County School District 25","Fremont County, Wyoming",43.025466,-108.396031,"https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","https://fremont25.tedk12.com/hire/index.aspx",51000,49200,"2025-2026",150000,260,"WSBA (wsba-wy.org)",185,2354,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",64904,898,39533,2024,0.0261285364604087,-0.00700793730533507
"Fremont County School District 38","Fremont County, Wyoming",42.963943,-108.490183,"https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1",54633,54663,"2025-2026",NA,NA,"WSBA (wsba-wy.org)",50,446,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",64904,898,39533,2024,0.0261285364604087,-0.00700793730533507
"Fremont County School District 6","Fremont County, Wyoming",43.245898,-108.686871,"https://fremont2.tedk12.com/hire/index.aspx","https://www.applitrack.com/fre6/onlineapp/default.aspx?all=1",54136,53600,"2025-2026",134300,260,"WSBA (wsba-wy.org)",42,342,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",64904,898,39533,2024,0.0261285364604087,-0.00700793730533507
"Goshen County School District 1","Goshen County, Wyoming",42.069529,-104.192235,"https://goshen.tedk12.com/hire/index.aspx#aJobListings","https://goshen.tedk12.com/hire/index.aspx#aJobListings",56856,55200,"2025-2026",170275,257,"WSBA (wsba-wy.org)",148,1617,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",58929,778,12605,2024,0.0131384159881569,-0.0552390945885175
"Hot Springs County School District 1","Hot Springs County, Wyoming",43.650103,-108.208372,"https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","https://jobs.redroverk12.com/org/hotsprings1",50000,50000,"2025-2026",158000,260,"WSBA (wsba-wy.org)",50,584,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",61250,887,4620,2024,0.0557213930348259,0.00282179292381159
"Johnson County School District 1","Johnson County, Wyoming",44.3502,-106.708699,"https://www.applitrack.com/jcsd1/onlineapp/jobpostings/view.asp?internaltransferform.Url=&all=1","https://jobs.redroverk12.com/org/jcsd1",49000,47500,"2025-2026",144200,260,"WSBA (wsba-wy.org)",118,1137,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",64871,1029,8686,2024,0.0306245478659272,0.0234476257806056
"Laramie County School District 1","Laramie County, Wyoming",41.145017,-104.819808,"https://laramie1.schoolspring.com/","https://laramie1.schoolspring.com/",53250,51250,"2025-2026",217360,260,"WSBA (wsba-wy.org)",1067,13426,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",80173,1160,101060,2024,0.0136619833360562,0.0278681855166802
"Laramie County School District 2","Laramie County, Wyoming",41.176914,-104.064558,"https://laramie2.tedk12.com/hire/index.aspx","https://laramie2.tedk12.com/hire/index.aspx",51750,50500,"2025-2026",145500,260,"WSBA (wsba-wy.org)",95,1030,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",80173,1160,101060,2024,0.0136619833360562,0.0278681855166802
"Lincoln County School District 1","Lincoln County, Wyoming",41.78428,-110.537943,"https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1","https://www.applitrack.com/rangers1/onlineapp/default.aspx?all=1",55500,55000,"2025-2026",81320,260,"WSBA (wsba-wy.org)",44,637,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",89330,960,20486,2024,0.0555719484607062,0.0628826398256719
"Lincoln County School District 2","Lincoln County, Wyoming",42.726201,-110.928226,"https://lcsd2.org/employment-opportunities/","https://lcsd2.org/employment-opportunities/",63070,60380,"2025-2026",220340,260,"WSBA (wsba-wy.org)",212,2924,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",89330,960,20486,2024,0.0555719484607062,0.0628826398256719
"Natrona School District 1","Natrona County, Wyoming",42.86049,-106.340171,"https://natronaschools.tedk12.com/hire/index.aspx","https://natronaschools.schoolspring.com/",54100,52000,"2025-2026",218557,260,"WSBA (wsba-wy.org)",884,12352,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",72156,1016,79977,2024,0.0579024669537726,-0.004431553657899
"Niobrara County School District 1","Niobrara County, Wyoming",42.760099,-104.45919,"https://www.growingluskleaders.org/page/human-resources","https://www.growingluskleaders.org/page/human-resources",50000,50000,"2025-2026",134000,260,"WSBA (wsba-wy.org)",73,935,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",64113,605,2368,2024,0.0419213973799127,-0.0222956234516928
"Park County School District 1","Park County, Wyoming",44.75394,-108.753651,"https://www.applitrack.com/park1/onlineapp/default.aspx?all=1","https://www.applitrack.com/park1/onlineapp/default.aspx?all=1",54000,53000,"2025-2026",185500,261,"WSBA (wsba-wy.org)",141,1778,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Full",73035,925,30449,2024,0.0196026136818242,0.0446342802250583
"Park County School District 16","Park County, Wyoming",44.153664,-108.872369,"https://www.applitrack.com/park6/onlineapp/default.aspx?all=1","https://pcsd16.com/271372_2",49000,49000,"2025-2026",133475,260,"WSBA (wsba-wy.org)",18,98,2024,"NCES Common Core of Data via Urban Institute Education Data Portal (educationdata.urban.org)","Partial (WSBA + own page)",73035,925,30449,2024,0.0196026136818242,0.0446342802250583
